/*****************************************************************************/
/* Author   : Conor Dooley                                                   */
/* Date     : DD-Month-YYYY                                                  */
/* Function :                                                                */
/*****************************************************************************/
Action  Status  Filename
keep    n/a     2x2_locking_network_ring_dl.bit
comment done    ADPLL.v
keep    n/a     ADPLLw2Inputs.sv
keep    n/a     ADPLLwNoPDet.v
keep    n/a     BangBangPD.v
keep    n/a     clockReset.v
keep    n/a     ClockReset5_258_PDiff.v
junk    done    ClockReset5_400.v
junk    done    ClockReset5_400_PDiff.v
keep    n/a     displayInterface.v
comment done    Div8.v
comment done    ErrorCombiner.v
junk    done    ExtRefTest.v
junk    done    ExtRefTest5M.v
junk    done    GainTest.v
keep    n/a     hex2seg.v
remove  done    JitterDetect.v
junk    todo    lf_test.v
keep    n/a     list.txt
keep    n/a     LoopFilterFrac.v
junk    done    LoopFilterPierre.vhd
comment done    LoopFilter.v
comment todo    NetworkADPLL.v
comment todo    NetworkRing.v
junk    done    OldLoopFilter.v
keep    n/a     OscTestTopLevel.v
comment done    PhaseAccum.v
comment done    PhaseDetector.v
comment todo    PhaseDetectorDL.v
keep    n/a     PhDetTestLockRange.v
keep    n/a     PhDetTopLevel.v
junk    done    PI_Filter_v0.vhd
keep    n/a     pm10ns_single_ring_dlpdet_75inv.bit
comment done    PulseOnNegEdge.v
comment done    PulseOnPosEdge.v
junk    done    ReferenceSelector.v
comment todo    RingADPLL.v
comment todo    RingOsc.v
keep    n/a     RingOscADPLLTopLevel.v
keep    n/a     RingOscTopLevel.v
keep    n/a     RingRangeTest.v
comment done    SaveCounter.v
keep    n/a     SignedDec2Hex.v
comment done    SRLatchGate.v
comment done    stateMachine.v
comment done    Synchroniser.v
junk    done    TDC.v
comment todo    ThreeByThreeRingTest.v
comment todo    TwoByTwoRingTest.v
comment todo    TwoByTwoTest.v
keep    n/a     TwoConnectedTest.v
junk    done    untitled.sv
comment done    UpDownCounter.v
